region,count_declarations,population
Івано-Франківська,1129067,1366342
Вінницька,1331029,1541379
Волинська,872539,1030595
Дніпропетровська,2554195,3168842
Донецька,1387273,4123715
Житомирська,1011762,1205314
Закарпатська,1020750,1253028
Запорізька,1346759,1682573
Кіровоградська,714243,930091
Київська,1561834,1782883
Луганська,490629,2132417
Львівська,2136523,2508671
Миколаївська,845750,1117400
Одеська,1706823,2375282
Полтавська,1154649,1383523
Рівненська,964047,1151967
Сумська,894157,1064904
Тернопільська,854966,1036883
Харківська,2127959,2653455
Херсонська,812634,1025353
Хмельницька,1062266,1252278
Черкаська,974050,1188805
Чернівецька,728311,900540
Чернігівська,818986,988059
